TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
Products                                                                                                                         created_by                                                                                                                       int                                                                                                                                                  NULL YES        
Sessions                                                                                                                         id                                                                                                                               int                                                                                                                                                  NULL NO         
Sessions                                                                                                                         user_id                                                                                                                          int                                                                                                                                                  NULL NO         
Sessions                                                                                                                         token                                                                                                                            varchar                                                                                                                                               255 NO         
Sessions                                                                                                                         created_at                                                                                                                       datetime                                                                                                                                             NULL YES        
Sessions                                                                                                                         expires_at                                                                                                                       datetime                                                                                                                                             NULL YES        
Transactions                                                                                                                     id                                                                                                                               int                                                                                                                                                  NULL NO         
Transactions                                                                                                                     user_id                                                                                                                          int                                                                                                                                                  NULL NO         
Transactions                                                                                                                     type                                                                                                                             nvarchar                                                                                                                                               50 NO         
Transactions                                                                                                                     amount                                                                                                                           decimal                                                                                                                                              NULL NO         
Transactions                                                                                                                     description                                                                                                                      nvarchar                                                                                                                                              500 YES        
Transactions                                                                                                                     created_at                                                                                                                       datetime                                                                                                                                             NULL YES        
Users                                                                                                                            id                                                                                                                               int                                                                                                                                                  NULL NO         
Users                                                                                                                            name                                                                                                                             nvarchar                                                                                                                                              100 NO         
Users                                                                                                                            email                                                                                                                            nvarchar                                                                                                                                              255 YES        
Users                                                                                                                            password                                                                                                                         varchar                                                                                                                                               255 NO         
Users                                                                                                                            created_at                                                                                                                       datetime                                                                                                                                             NULL YES        
Users                                                                                                                            updated_at                                                                                                                       datetime                                                                                                                                             NULL YES        
Users                                                                                                                            balance                                                                                                                          decimal                                                                                                                                              NULL YES        
Users                                                                                                                            role                                                                                                                             nvarchar                                                                                                                                               20 YES        
Users                                                                                                                            phone                                                                                                                            nvarchar                                                                                                                                               20 YES        

(94 rows affected)
